macro,mode,WL,area_um2
butterfly,BT,9,2605.0
butterfly,BT,10,2907.0
butterfly,BT,11,3362.0
butterfly,BT,12,3745.0
butterfly,BT,13,4153.0
butterfly,BT,14,4531.0
butterfly,BT,15,4966.0
butterfly,BT,16,5255.0
butterfly,BR,9,2541.0
butterfly,BR,10,2893.0
butterfly,BR,11,3388.0
butterfly,BR,12,3790.0
butterfly,BR,13,4222.0
butterfly,BR,14,4592.0
butterfly,BR,15,5016.0
butterfly,BR,16,5309.0
butterfly,HUB,9,2563.0
butterfly,HUB,10,2904.0
butterfly,HUB,11,3351.0
butterfly,HUB,12,3822.0
butterfly,HUB,13,4151.0
butterfly,HUB,14,4498.0
butterfly,HUB,15,4887.0
butterfly,HUB,16,5295.0
rotator,BT,9,12347.0
rotator,BT,10,14239.0
rotator,BT,11,16245.0
rotator,BT,12,16979.0
rotator,BT,13,18845.0
rotator,BT,14,20181.0
rotator,BT,15,21195.0
rotator,BT,16,22620.0
rotator,BR,9,12769.0
rotator,BR,10,14771.0
rotator,BR,11,16717.0
rotator,BR,12,17939.0
rotator,BR,13,19467.0
rotator,BR,14,20863.0
rotator,BR,15,22400.0
rotator,BR,16,24142.0
rotator,HUB,9,12689.0
rotator,HUB,10,14684.0
rotator,HUB,11,16792.0
rotator,HUB,12,18012.0
rotator,HUB,13,19877.0
rotator,HUB,14,20918.0
rotator,HUB,15,22392.0
rotator,HUB,16,23827.0
